Title,Author,Series,Romance.io Rating,# of Ratings,# of Reviews,Release Day/Month,Release Year,Release Date,Story Length,Page Count,Priority,Priority #,Contemporary,Futuristic,Historical,Ancient Times,Medieval,Tudors & Stuarts,Georgian,Regency,Victorian,Western Frontier,American Civil War,20th Century,Dark Romance,Young Adult,New Adult,Mystery,Suspense,Dystopian,Funny,Angst,Horror,Fantasy,High Fantasy,Urban Fantasy,Steampunk,Paranormal,Magic,Time Travel,Angels,Demons,Fae,Monsters,Shapeshifters,Werewolves,Dragon Shifter,Bear Shifter,Lion Shifter,Tiger Shifter,Vampires,Witches,Science Fiction,Aliens,M-F Romance,Gay Romance,Lesbian Romance,Non-Binary Romance,Older/Mature,Childfree,Queer Romance,Queer Awakening,Bisexuality,Age Gap,Boss & Employee,Class Difference,Grumpy & Sunshine,Height Difference,Multicultural,Arranged/Forced Marriage,Caretaking,Enemies To Lovers,Fake Relationship,Fated Mates,Forbidden Love,Forced Proximity,Friends To Lovers,Good Grovel,Hurt/Comfort,Insta-Love,Marriage Of Convenience,Other Man/Woman,Love Triangle,Cheating,Pregnancy,Second Chances,Secret Child,Secret Relationship,Sibling's Best Friend,Slow Burn,Abduction,Betrayal,Christmas,Disabilities & Scars,Found Family,Mafia,Military,Neurodivergent MC,Political/Court Ingtrigue,Slavery,Superheroes,Survival,Vengeance,War,Black MC,African-American,BW/WM,East Asian MC,Indigenous MC,Latinx MC,South Asian/Desi,Southeast Asian MC,Amish,Buddhist,Christian,Hindu,Jewish,Muslim,Pagan,Sports,Baseball,Basketball,Fighting/MMA/Boxing,Football,Hockey,Ice/Figure Skating,Soccer,Highschool,College,Workplace/Office,Small Town,Western,Africa,Northern Africa,Morocco,Eastern Africa,Djibouti,Somalia,Asia,Central Asia,East Asia,South Asia,Southeast Asia,Western Asia,Isreal,Jordan,Palestine,North America,Caribbean,Bahamas,Jamaica,Central America,Costa Rica,Canada,Mexico,USA,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York State,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington D.C.,Washington State,West Virginia,Wisconsin,Wyoming,South America,Argentina,Colombia,Peru,Europe,Ireland,United Kingdom,England,Northern Ireland,Scotland,Wales,Western & Central Europe,Belgium,France,Germany,Hungary,Netherlands,Switzerland,Scandinavia,Norway,Sweden,Southern Europe,Italy,Spain,South-East Europe,Greece,Kosovo,Romania,Serbia,Eastern Europe,Belarus,Russia,Oceania,Australia,New Zealand,Cheerful/Happy Heroine,Competent Heroine,Female Rake,Grumpy/Ice Queen,Independent Heroine,Sassy Heroine,Shy Heroine,Sweet/Gentle Heroine,Take-Charge Heroine,Dangerous Heroine,Gifted/Super-Heroine,Non-Human Heroine,Poor Heroine,Rich Heroine,Single Mother,Tortured Heroine,Trans Heroine,Curvy Heroine,Plain Heroine,Tall Heroine,Aristo/Royal Heroine,Athlete Heroine,Bodyguard/Protector Heroine,Famous Heroine,Criminal Heroine,Sleuth Heroine,Teacher/Coach Heroine,Warrior Heroine,White Collar Heroine,Working Class Heroine,Bad Boys,Cruel Hero/Bully,Grumpy/Cold Hero,Himbo,Nerdy Hero,Possessive Hero,Shy Hero,Sunny/Happy Hero,Sweet/Gentle Hero,Non-Human Hero,Rich Hero,Single Father,Tortured Hero,Trans Hero,Dad-Bod Hero,Short King,Actor Hero,Athlete Hero,Biker Hero,Bodyguard/Protector Hero,CEO/Tycoon Hero,Cowboy Hero,Fighter Hero,Men in Uniform,Pirate Hero,Politician Hero,Rockstar Hero,Teacher/Coach Hero,Warlord/Commander Hero,Working Class Hero,Highlander Hero,Royal Hero,Sheik,Viking Hero,No HEA,Nontraditional HEA,Ableism,Animal Abuse,Animal Death,Eating Disorders,Fatphobia,Gambling,Graphic Violence,Human Trafficking,Mental Illness,Mental Trauma,Miscarriage/Infertility,Misogyny,Queerphobia,Racism,Religious Trauma,Self Harm,Suicide/Ideation,Terminal Illness,Torture of MCs,Torture of Side Characters,Victim Blaming,Abuse,Abuse Between MCs,Third Party Abuse,Past Abuse,Past Child Abuse,Past Child Neglect,Death/Grief,Child Death,Substance Abuse,Alcoholism,Drug Abuse,Male POV,Dual POV,First Person POV,Third Person POV,Status,Date Started,Date Finished,Total Days,TBR Placement
The Fall Before Flight,L.M. Halloran,,4.28,18,1,10/10,2018,10-Oct-18,Medium,324,Low Priority,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,257
Medicine Man ,Saffron A. Kent,Heartstone  ,4.12,92,11,9/27,2018,27-Sep-18,Long,516,Medium Priority,3,10,,,,,,,,,,,,5,,9,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,8,,,4,3,,,,,,,11,1,,,,1,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,7,,,,,,,,,,,,,,,,,4,,,8,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,3,,,,,,,,,,,3,,,,,,3,1,,Unread,,,,258
Yes & I Love You ,Roni Loren,Say Everything  ,3.94,39,2,3/2,2021,2-Mar-21,Medium,384,Medium Priority,3,7,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,2,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Unread,,,,259
A Life Less Broken,Margaret McHeyzer,,4.04,17,1,7/30,2014,30-Jul-14,Short,228,Medium Priority,2,10,,,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,Unread,,,,260
Phantom ,Greer Rivers,Tattered Curtain  ,3.5,27,3,7/7,2022,7-Jul-22,Long,408,Medium Priority,3,6,,,,,,,,,,,,5,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,1,,,,,,3,3,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,1,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,1,,3,,,,,,1,,,,,,,,,Unread,,,,261
Control Freak,Brianna Hale,,3.67,48,7,6/27,2019,27-Jun-19,Medium,311,Medium Priority,3,10,,,,,,,,,,,,,,7,,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,7,7,1,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,3,,,1,,,,,5,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,8,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,Unread,,,,262
Beauty in the Broken ,Charmaine Pauls,Diamond Magnate  ,4.16,19,1,5/14,2019,14-May-19,Long,426,Medium Priority,3,7,,,,,,,,,,,,8,,,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,2,,,,,,,,,,,2,,,,3,,4,,,,2,1,,1,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,1,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,Unread,,,,263
Wicked Vile King,Jordan Grant,Godless Heathens,4.13,8,0,7/19,2023,19-Jul-23,Medium,310,Medium Priority,3,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,264
Black Knight ,Rina Kent,Royal Elite  ,4.02,112,12,5/14,2020,14-May-20,Medium,326,Medium Priority,3,10,,,,,,,,,,,,8,10,7,,5,,,12,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,11,,,1,,7,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,6,,10,,7,,,,,,,,,,,,,9,15,1,,,8,,,,,10,,10,,,,,,,,,,3,,,,,,,,,,,,,,,,,10,6,,,,8,,,,,,,10,5,,,,,9,,,,,,,,2,4,,,7,1,,Unread,,,,265
Body and Soul,Susan Krinard,,3.5,4,0,8/3,1998,3-Aug-98,Medium,312,Low Priority,1,10,5,,,,,,,,,,,,,,,,,,,,10,,,,10,,5,5,5,,,5,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,266
Karma ,Donna Augustine,Karma  ,3.79,22,0,7/9,2014,9-Jul-14,Medium,284,Medium Priority,3,5,,,,,,,,,,,,,,,2,2,,2,,,5,,5,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,267
Lake of Dreams,Linda Howard,,3.78,9,0,5/1,1995,1-May-95,Novella,83,Medium Priority,2,5,,,,,,,,,,,,,,,5,5,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,268
Parallel ,Elizabeth O'Roark,Parallel  ,4.12,53,3,6/12,2019,12-Jun-19,Medium,286,Medium Priority,4,7,,2,,,,,,,,,,,,6,4,6,,,6,,5,,,,7,2,8,,,,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,2,5,1,3,,,5,,2,7,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,Unread,,,,269
Blood Mercy ,Vela Roth,Blood Grace  ,4.26,35,7,6/4,2018,4-Jun-18,Epic,767,Low Priority,2,,,,4,2,,,,,,,,,,5,,,,,,,19,6,,,14,8,,,,,,,,,,,,21,,,,3,,,,,,,,,4,,,,3,,,,,,1,8,,5,,,,,,,,,,,8,,7,,,,,,,,,2,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,8,,,1,8,,,,,,,6,,,4,,4,,,,,,,,,,,,,,3,4,,2,11,5,,,,,,,,,,,,,,,,6,,,,,,2,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,4,1,1,,3,,,,,,9,,2,Unread,,,,270
The Fae King's Curse ,Jamie Schlosser,Between Dawn and Dusk ,3.92,46,3,4/17,2020,17-Apr-20,Medium,334,Medium Priority,2,,,,,,,,,,,,,,,6,,2,,6,,,9,,5,,5,5,,,,7,,5,,,,,,,9,,,2,,,,,,,,,4,,,,,,,,,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Unread,,,,271
Clash of Storms ,Bec McMaster,Legends of the Storm  ,4.08,13,0,9/10,2018,10-Sep-18,Medium,378,Low Priority,2,,,5,,,,,,,,,,,,,,,,,,,5,,,,6,6,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,2,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,Unread,,,,272
Alpha Bully ,Sam Crescent,The Alpha Shifter Collection ,3.36,28,0,1/19,2015,19-Jan-15,Novella,135,Medium Priority,3,3,,,,,,,,,,,,,1,1,,,,,,,6,,,,6,,,,,,,6,6,,,,,,,,,1,,,,,,,,,,,,,,,,,6,,2,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,Unread,,,,273
The Tyrant Alpha's Rejected Mate ,Cate C. Wells,Five Packs  ,3.9,229,19,11/12,2021,12-Nov-21,Medium,382,Medium Priority,3,14,,,,,,,,,,,,,,,,,,,11,,4,,8,,11,9,,,,,,26,25,,,,,,,,,8,,,,,,,,,,,,,7,,,,17,,12,,,,7,,,,,,,,9,,,,18,,1,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,13,,2,,17,,,9,,,,,,,,,,,,,,,,,,,,7,12,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,6,,,,,,,,,6,2,,Unread,,,,274
The Contortionist ,Kathryn Ann Kingsley,Harrow Faire  ,4.09,124,5,9/15,2020,15-Sep-20,Medium,280,Medium Priority,2,13,,,,,,,,,,,,18,,8,11,15,,6,,10,17,,19,,17,14,,,,,,,,,,,,,,,,9,,,,,,,,,6,,,,13,,,,13,,,,7,,,,,,,,,,,,,,16,10,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,5,,,4,,,,,,,8,,,,,,,,,,,,,3,,6,14,7,,,8,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,11,,,,,,,,,,,1,12,,10,Unread,,,,275
Fire in His Blood ,Ruby Dixon,Fireblood Dragon  ,3.55,152,16,1/9,2017,9-Jan-17,Medium,331,Medium Priority,3,1,11,,,,,,,,,,,,,2,,,15,,,,,,11,,,7,,,,,3,14,,18,,,,,,12,8,1,,,,,,,,,,,,,4,,,,12,,7,,,,,,11,,,,,10,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,,3,,,,5,,,,,,,,,,,,,,,,,,,,,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,7,6,,Unread,,,,276
Rafe,Rebekah Weatherspoon,Loose Ends  ,3.59,93,10,9/26,2018,26-Sep-18,Short,239,Low Priority,2,11,,,,,,,,,,,,,,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,9,7,,7,10,,,,,,,7,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,,10,,12,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,7,,,,,,,,,,12,,,,,,,,,,,,,,14,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,Unread,,,,277
Strange Love ,Ann Aguirre,Galactic Love  ,4,118,17,1/31,2019,31-Jan-19,Medium,306,Medium Priority,3,,11,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,18,15,8,,,,,,,,4,,,,,4,4,,,,,,,2,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,,,3,1,,10,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,4,,,,7,,6,Unread,,,,278
Colters' Woman ,Maya Banks,Colters' Legacy  ,3.65,70,2,12/17,2006,17-Dec-06,Medium,272,Medium Priority,4,20,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,14,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,1,Unread,,,,280
Lilacs and Leather ,Thora Woods,Pack Saint Clair  ,4.1,74,8,11/7,2021,7-Nov-21,Medium,381,Medium Priority,3,5,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,3,,,,2,,3,,,,,2,,,1,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,,,2,,,,,,,,,1,,,Unread,,,,281
Reckless Heir ,Jenika Snow,The Underworld Kings ,3.6,37,4,2/21,2022,21-Feb-22,Medium,378,Medium Priority,4,10,,,,,,,,,,,,6,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,9,,,3,,4,9,,4,,,,,,,,9,8,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,10,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,2,,2,,,,2,,,,,,5,2,,Unread,,,,282
Claim ,Catherine Miller,Deridia  ,4,5,0,5/10,2021,10-May-21,Medium,339,Medium Priority,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,283
Twisted Emotions ,Cora Reilly,The Camorra Chronicles  ,4.17,186,16,1/8,2019,8-Jan-19,Medium,343,Medium Priority,3,19,,,,,,,,,,,,9,,6,,8,,,10,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,6,3,1,21,,,,,,,,,4,,10,,,,,,,,,5,,,,3,4,30,,1,,,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7,4,,,,,,,19,,,,,,,,,,,,,,,5,,9,,,,,,,,2,,16,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,1,,,2,,2,1,,,,,,,1,2,10,,,8,3,,2,,,,1,,8,3,,Unread,,,,284
